,State,Year,Quater,Transaction_count,Transaction_amount
128,kerala,2018,4,4310654,7747361236.812299
129,karnataka,2018,4,44812071,73008386576.05942
130,chandigarh,2018,4,905116,2032591591.779975
131,telangana,2018,4,28921154,49509088448.04927
132,himachal pradesh,2018,4,1307883,2621298968.1392584
133,west bengal,2018,4,36513548,40489619211.70402
134,gujarat,2018,4,14733303,24830987102.78186
135,sikkim,2018,4,154533,383141358.07825375
136,nagaland,2018,4,139333,388013467.5456239
137,mizoram,2018,4,55242,190426852.52952954
138,chhattisgarh,2018,4,5365844,9416412664.971258
139,jammu & kashmir,2018,4,2721310,5664720265.697432
140,goa,2018,4,514755,1153005078.9224057
141,arunachal pradesh,2018,4,176429,504040029.0917605
142,delhi,2018,4,29187719,39722857618.706436
143,uttarakhand,2018,4,3178761,5654272137.963844
144,puducherry,2019,1,501092,906473024.3065231
145,tamil nadu,2019,1,32275045,56204036816.128555
146,uttar pradesh,2019,1,57324504,76524180134.0167
147,madhya pradesh,2019,1,37301049,48070279522.04201
148,andhra pradesh,2019,1,57264522,83760595917.0792
149,tripura,2019,1,580926,756894941.6158216
150,lakshadweep,2019,1,2481,8786130.479338994
151,manipur,2019,1,265409,659898060.4240801
152,maharashtra,2019,1,75079069,111420690920.33997
153,dadra & nagar haveli & daman & diu,2019,1,661814,843369776.0499002
154,meghalaya,2019,1,208741,399037162.15343595
155,andaman & nicobar islands,2019,1,30486,102299740.67348987
156,haryana,2019,1,22135775,34051655721.631077
157,rajasthan,2019,1,43956040,61141158575.55252
158,ladakh,2019,1,46145,152859920.9491272
159,punjab,2019,1,7172137,13574490001.853222
160,assam,2019,1,4533005,8002099536.451059
161,jharkhand,2019,1,9387708,13627236449.278034
162,odisha,2019,1,34031942,35427127930.698456
163,bihar,2019,1,26356234,41502827514.52612
164,kerala,2019,1,6469039,10235031134.849785
165,karnataka,2019,1,86587609,117976382145.74966
166,chandigarh,2019,1,1274476,2396032050.444029
167,telangana,2019,1,65290702,95523262035.66321
168,himachal pradesh,2019,1,2168718,3381481442.991081
169,west bengal,2019,1,47626388,50164672623.87851
170,gujarat,2019,1,24991451,35856080308.47724
171,sikkim,2019,1,240287,457993634.3840939
172,nagaland,2019,1,168579,441941712.41233104
173,mizoram,2019,1,70306,218160895.39740258
174,chhattisgarh,2019,1,7887669,12544556385.328796
175,jammu & kashmir,2019,1,3584987,5951835476.521047
176,goa,2019,1,738812,1475323397.276577
177,arunachal pradesh,2019,1,226506,609950106.3139492
178,delhi,2019,1,47007327,58469131789.49733
179,uttarakhand,2019,1,5546001,7183529175.274033
180,puducherry,2019,2,580077,1211446910.127807
181,tamil nadu,2019,2,32171737,64207676025.75553
182,uttar pradesh,2019,2,58883500,98917519370.67831
183,madhya pradesh,2019,2,40846013,68334566380.56182
184,andhra pradesh,2019,2,56409015,113634518758.22931
185,tripura,2019,2,532558,841821482.8473747
186,lakshadweep,2019,2,2926,9242524.13698889
187,manipur,2019,2,257425,722789942.1495004
188,maharashtra,2019,2,101149853,153294470088.05945
189,dadra & nagar haveli & daman & diu,2019,2,489656,824441276.56507
190,meghalaya,2019,2,232286,492931289.1072781
191,andaman & nicobar islands,2019,2,33689,120254709.6756632
192,haryana,2019,2,22741816,42501539813.21669
193,rajasthan,2019,2,50009286,89107313172.66756
194,ladakh,2019,2,68772,259255506.9974248
195,punjab,2019,2,8509830,18614793394.772213
196,assam,2019,2,5454929,10954969189.126175
197,jharkhand,2019,2,10128211,18622701305.54623
198,odisha,2019,2,29512024,44754854871.67608
199,bihar,2019,2,29960479,63132438283.54397
200,kerala,2019,2,7283826,13031371561.185568
201,karnataka,2019,2,115401604,163702024226.0841
202,chandigarh,2019,2,1252470,2693116098.9444556
203,telangana,2019,2,89610379,155676443182.43457
204,himachal pradesh,2019,2,2502306,4875883973.61058
205,west bengal,2019,2,47023535,57105691119.11844
206,gujarat,2019,2,28981842,49320615219.26732
207,sikkim,2019,2,388244,738894243.4359412
208,nagaland,2019,2,188753,520066682.1585048
209,mizoram,2019,2,75671,248016708.13501447
210,chhattisgarh,2019,2,9389945,17002355688.82225
211,jammu & kashmir,2019,2,2296355,6100142201.563448
212,goa,2019,2,768441,1591867103.3876143
213,arunachal pradesh,2019,2,258656,752655874.3550282
214,delhi,2019,2,57171512,81706816063.62862
215,uttarakhand,2019,2,4813275,8588532850.9184885
216,puducherry,2019,3,716826,1460708357.4554102
217,tamil nadu,2019,3,41410183,78959604643.63503
218,uttar pradesh,2019,3,68623959,111268137475.02843
219,madhya pradesh,2019,3,53610411,77676321491.22867
220,andhra pradesh,2019,3,76288614,139447944254.78943
221,tripura,2019,3,711717,1017377422.817224
222,lakshadweep,2019,3,3104,9651761.463768471
223,manipur,2019,3,345008,863552002.562933
224,maharashtra,2019,3,148735581,199617506744.94272
225,dadra & nagar haveli & daman & diu,2019,3,638751,961471473.8483732
226,meghalaya,2019,3,306550,612218602.153532
227,andaman & nicobar islands,2019,3,33770,114071776.08729392
228,haryana,2019,3,30343531,52489119199.44011
229,rajasthan,2019,3,67303617,112468290031.92343
230,ladakh,2019,3,92396,331129527.19382226
231,punjab,2019,3,10706812,22905815605.843315
232,assam,2019,3,5942571,12950443620.426579
233,jharkhand,2019,3,14220647,21465973993.35938
234,odisha,2019,3,41422272,57304577359.217094
235,bihar,2019,3,32139900,67692783254.273834
236,kerala,2019,3,9286096,16429809722.064445
237,karnataka,2019,3,170733735,214536720438.18292
238,chandigarh,2019,3,1506543,3269682087.6608405
239,telangana,2019,3,121495376,201930021130.42365
240,himachal pradesh,2019,3,2735180,5572018781.123304
241,west bengal,2019,3,66444829,70540532616.82985
242,gujarat,2019,3,38228649,59462694964.26753
243,sikkim,2019,3,552436,884716448.4404289
244,nagaland,2019,3,261878,650956471.7134112
245,mizoram,2019,3,98094,278793899.9513421
246,chhattisgarh,2019,3,12243111,19803259167.45372
247,jammu & kashmir,2019,3,1116526,3744230491.7824554
248,goa,2019,3,1092416,2000367191.496843
249,arunachal pradesh,2019,3,370234,912645034.7958709
250,delhi,2019,3,69537876,103196812046.45712
251,uttarakhand,2019,3,5710476,9729032070.017406
252,puducherry,2019,4,1012655,1932028317.878899
253,tamil nadu,2019,4,56596411,103190865512.53719
254,uttar pradesh,2019,4,86905005,145538926507.3059
255,madhya pradesh,2019,4,68131989,104687926790.86589
256,andhra pradesh,2019,4,107218103,200948315488.80518
257,tripura,2019,4,801824,1215400160.2581887
258,lakshadweep,2019,4,3765,11269913.40492385
259,manipur,2019,4,449344,1200897682.088641
260,maharashtra,2019,4,201260620,272994428799.5649
261,dadra & nagar haveli & daman & diu,2019,4,768971,1226641262.0110402
262,meghalaya,2019,4,365981,742436471.7902198
263,andaman & nicobar islands,2019,4,35159,136838530.5173779
264,haryana,2019,4,37825985,69359719869.10008
265,rajasthan,2019,4,85074242,159452410049.68317
266,ladakh,2019,4,84706,324689360.02811134
267,punjab,2019,4,13698625,29989802246.19331
268,assam,2019,4,6760510,15281983895.512564
269,jharkhand,2019,4,18248618,28147748376.677704
270,odisha,2019,4,64995633,79769373632.04843
271,bihar,2019,4,43530314,93313426577.80905
272,kerala,2019,4,12498637,21151326637.805134
273,karnataka,2019,4,237796252,295047143447.23846
274,chandigarh,2019,4,1850915,4152513817.939354
275,telangana,2019,4,163572258,280746765547.7425
276,himachal pradesh,2019,4,3516646,7271163537.248161
277,west bengal,2019,4,96805838,88203610254.64601
278,gujarat,2019,4,42547632,76690662054.91542
279,sikkim,2019,4,767070,1176509601.6562185
280,nagaland,2019,4,317170,834537138.3487777
281,mizoram,2019,4,125239,368689350.6344881
282,chhattisgarh,2019,4,16305758,27143788737.21397
283,jammu & kashmir,2019,4,489928,1929695997.8225975
284,goa,2019,4,1515272,2923460348.4994645
285,arunachal pradesh,2019,4,459475,1190573179.5272837
286,delhi,2019,4,80744997,129024467424.89062
287,uttarakhand,2019,4,7362116,12573706305.150612
288,puducherry,2020,1,1207921,2205277477.079584
289,tamil nadu,2020,1,66953473,116569686179.4346
290,uttar pradesh,2020,1,97239132,172416434960.69037
291,madhya pradesh,2020,1,79366746,126737281436.18526
292,andhra pradesh,2020,1,127677357,252737214289.0485
293,tripura,2020,1,924502,1588778806.3885012
294,lakshadweep,2020,1,5151,13502368.57450421
295,manipur,2020,1,818801,2598590380.8769474
296,maharashtra,2020,1,238944081,319995196718.0683
297,dadra & nagar haveli & daman & diu,2020,1,878579,1342763369.292519
298,meghalaya,2020,1,502283,1120134840.9078057
299,andaman & nicobar islands,2020,1,41298,161476312.2972747
300,haryana,2020,1,44036087,81976214558.24355
301,rajasthan,2020,1,102258812,190308238561.00217
302,ladakh,2020,1,116419,377639677.4457431
303,punjab,2020,1,15217784,31374185265.899654
304,assam,2020,1,8808860,20668428347.72898
305,jharkhand,2020,1,18282713,33611232153.269115
306,odisha,2020,1,53682307,91956798199.33679
307,bihar,2020,1,45081815,109256853527.24524
308,kerala,2020,1,15733522,26451084830.93425
309,karnataka,2020,1,271033890,353402054999.4004
310,chandigarh,2020,1,2262511,5126453070.016205
311,telangana,2020,1,199409525,371343780368.2118
312,himachal pradesh,2020,1,4144480,7419466751.122733
313,west bengal,2020,1,66250381,96653305190.9406
314,gujarat,2020,1,47326417,86995076621.90231
315,sikkim,2020,1,528118,1053476271.9444009
316,nagaland,2020,1,378051,894780028.7343724
317,mizoram,2020,1,153609,392077579.3496374
318,chhattisgarh,2020,1,19523991,32860597671.356686
319,jammu & kashmir,2020,1,921630,2937643176.534005
320,goa,2020,1,1881237,3410371231.9237647
321,arunachal pradesh,2020,1,567175,1381758681.3301477
322,delhi,2020,1,81747604,133616543642.58943
323,uttarakhand,2020,1,9131784,16158080258.987526
324,puducherry,2020,2,1033383,1960030980.4875922
325,tamil nadu,2020,2,51870110,95826508896.84135
326,uttar pradesh,2020,2,100851965,178744016130.31216
327,madhya pradesh,2020,2,76340573,147922015289.08447
328,andhra pradesh,2020,2,144917855,302583689746.5449
329,tripura,2020,2,1052520,1769175883.585958
330,lakshadweep,2020,2,7220,16942922.08594439
331,manipur,2020,2,1083068,3198936212.8055243
332,maharashtra,2020,2,184790761,296359517159.41614
333,dadra & nagar haveli & daman & diu,2020,2,973152,1302376453.8880572
334,meghalaya,2020,2,635395,1153735154.3383913
335,andaman & nicobar islands,2020,2,62962,169645001.41414702
336,haryana,2020,2,41781050,80711264923.94525
337,rajasthan,2020,2,101954656,193763273003.28284
338,ladakh,2020,2,155010,523792998.6520228
339,punjab,2020,2,14081294,30284654252.21334
340,assam,2020,2,10505199,19766300125.91926
341,jharkhand,2020,2,20141511,37486201975.923416
342,odisha,2020,2,50028576,91733036612.10583
343,bihar,2020,2,53386742,128806523628.85287
344,kerala,2020,2,16287967,25894078478.599953
345,karnataka,2020,2,213221712,321104877020.14185
346,chandigarh,2020,2,1528010,3847015729.690074
347,telangana,2020,2,152055143,321531839352.4224
348,himachal pradesh,2020,2,4695730,8036904762.544065
349,west bengal,2020,2,57676797,100099431877.35757
350,gujarat,2020,2,47420185,80387846359.49454
351,sikkim,2020,2,517731,1054618788.2612653
352,nagaland,2020,2,517566,1137674504.3478017
353,mizoram,2020,2,198462,457193433.4423174
354,chhattisgarh,2020,2,18820925,32268382206.900894
355,jammu & kashmir,2020,2,2635006,8265648939.258666
356,goa,2020,2,1482092,2183616430.016773
357,arunachal pradesh,2020,2,808774,1826716832.9849606
358,delhi,2020,2,66042018,107873438203.33162
359,uttarakhand,2020,2,9047770,16094187702.100985
360,puducherry,2020,3,1730902,3598080229.434597
361,tamil nadu,2020,3,70277825,143841415498.65747
362,uttar pradesh,2020,3,127405259,248689955423.05322
363,madhya pradesh,2020,3,108579881,205701679984.53757
364,andhra pradesh,2020,3,204902935,467084130584.93884
365,tripura,2020,3,1317885,2341819516.215885
366,lakshadweep,2020,3,8589,21306833.308656827
367,manipur,2020,3,1420168,4615976120.870485
368,maharashtra,2020,3,268310924,440307079012.4761
369,dadra & nagar haveli & daman & diu,2020,3,1138312,1749789114.9993598
370,meghalaya,2020,3,597579,1237059001.3830369
371,andaman & nicobar islands,2020,3,117483,338019446.3303601
372,haryana,2020,3,57938179,109567950445.72871
373,rajasthan,2020,3,149088676,293678306162.4698
374,ladakh,2020,3,228222,835487500.058193
375,punjab,2020,3,17209573,40123092147.81354
376,assam,2020,3,12397711,29831391259.543846
377,jharkhand,2020,3,27068473,50622615820.01348
378,odisha,2020,3,66033829,122463943804.29193
379,bihar,2020,3,71503748,173328865111.8144
380,kerala,2020,3,21758680,40164150651.95372
381,karnataka,2020,3,300360531,470740515696.6945
382,chandigarh,2020,3,2158086,5089809353.36507
383,telangana,2020,3,236372126,505961144755.88367
384,himachal pradesh,2020,3,5489876,10516054014.086905
385,west bengal,2020,3,79954504,156813355855.1383
386,gujarat,2020,3,59290179,111921752484.70932
387,sikkim,2020,3,596435,1400926728.6603994
388,nagaland,2020,3,736319,2009649143.1547942
389,mizoram,2020,3,254703,707944175.5046022
390,chhattisgarh,2020,3,24148539,41526744807.53401
391,jammu & kashmir,2020,3,3465898,11977229760.872362
392,goa,2020,3,1915531,3368343580.9446573
393,arunachal pradesh,2020,3,962827,2609938565.55822
394,delhi,2020,3,96491861,175163962804.6604
395,uttarakhand,2020,3,11818935,22103510968.006454
396,puducherry,2020,4,2716003,4930526217.671207
397,tamil nadu,2020,4,111179701,206473197500.99268
398,uttar pradesh,2020,4,178167517,357428826778.2578
399,madhya pradesh,2020,4,153652541,284275139772.3589
400,andhra pradesh,2020,4,286118552,654841546033.3186
401,tripura,2020,4,1651890,3182130996.2213116
402,lakshadweep,2020,4,11650,30111317.917080387
403,manipur,2020,4,1627852,5602224558.458768
404,maharashtra,2020,4,407621004,622155530832.2585
405,dadra & nagar haveli & daman & diu,2020,4,1817791,2700511100.828503
406,meghalaya,2020,4,754008,1804242572.1989727
407,andaman & nicobar islands,2020,4,224531,627282656.3148524
408,haryana,2020,4,83171439,159998504366.53964
409,rajasthan,2020,4,190283435,386034779836.48376
410,ladakh,2020,4,332134,1111963470.5079594
411,punjab,2020,4,22997925,53775406479.553894
412,assam,2020,4,15423454,40226611319.263756
413,jharkhand,2020,4,39431633,72805174830.04245
414,odisha,2020,4,92324950,178302663014.6175
415,bihar,2020,4,96591673,238905613136.47186
416,kerala,2020,4,33288187,56755256647.011795
417,karnataka,2020,4,431536984,658036698565.0032
418,chandigarh,2020,4,2912716,6146762901.349345
419,telangana,2020,4,343643787,696350439226.9453
420,himachal pradesh,2020,4,7272328,13989053108.813015
421,west bengal,2020,4,100340645,199165491365.6468
422,gujarat,2020,4,77828547,148393060112.4366
423,sikkim,2020,4,735035,1919275805.122922
424,nagaland,2020,4,847825,2773084870.5627017
425,mizoram,2020,4,322607,986522115.6939572
426,chhattisgarh,2020,4,35529636,62214974283.94806
427,jammu & kashmir,2020,4,5754444,15380905803.378227
428,goa,2020,4,3801381,6899792747.579928
429,arunachal pradesh,2020,4,1209129,3570264021.8456187
430,delhi,2020,4,120540417,216265088224.5436
431,uttarakhand,2020,4,17613271,31792739329.110085
432,puducherry,2021,1,3309432,5899309571.743641
433,tamil nadu,2021,1,136556674,248668143873.65317
434,uttar pradesh,2021,1,204499547,396287587577.5575
435,madhya pradesh,2021,1,201998498,343533954382.3015
436,andhra pradesh,2021,1,289747970,672444670176.5881
437,tripura,2021,1,1511423,3335341569.793424
438,lakshadweep,2021,1,9085,27042782.914081153
439,manipur,2021,1,2303535,7070287514.479244
440,maharashtra,2021,1,517860240,769887352153.2483
441,dadra & nagar haveli & daman & diu,2021,1,1925244,2965632911.1935043
442,meghalaya,2021,1,747646,2055515277.9898345
443,andaman & nicobar islands,2021,1,244752,783706567.3897561
444,haryana,2021,1,90252784,168938301082.4288
445,rajasthan,2021,1,252730919,491492581657.63354
446,ladakh,2021,1,275415,983419813.2468786
447,punjab,2021,1,26770835,58690887091.106735
448,assam,2021,1,19512060,51326464546.12217
449,jharkhand,2021,1,44621663,83749353123.13824
450,odisha,2021,1,111460358,213397736188.33783
451,bihar,2021,1,114932477,280973649701.2259
452,kerala,2021,1,42316342,69260970161.89497
453,karnataka,2021,1,523797492,754995357412.3948
454,chandigarh,2021,1,3970237,7596420859.545994
455,telangana,2021,1,412572110,799359264046.5657
456,himachal pradesh,2021,1,7614029,14120546909.487547
457,west bengal,2021,1,118254052,242937207475.5198
458,gujarat,2021,1,94774565,183700780713.44968
459,sikkim,2021,1,800189,2217667726.8407273
460,nagaland,2021,1,975897,3107450484.613187
461,mizoram,2021,1,329575,1101105586.9459367
462,chhattisgarh,2021,1,39436437,69409843261.55008
463,jammu & kashmir,2021,1,6997570,17138349893.151793
464,goa,2021,1,5331549,9757242879.021431
465,arunachal pradesh,2021,1,1177456,3813779079.0166435
466,delhi,2021,1,157359004,266928345043.49225
467,uttarakhand,2021,1,20608402,36288189399.89833
468,puducherry,2021,2,3751387,6498834696.543897
469,tamil nadu,2021,2,146158442,263487341026.54623
470,uttar pradesh,2021,2,241949131,482172489166.39343
471,madhya pradesh,2021,2,223314680,425500768035.631
472,andhra pradesh,2021,2,352767134,850737499108.2986
473,tripura,2021,2,1744429,3468154361.036266
474,lakshadweep,2021,2,11384,27383463.657951534
475,manipur,2021,2,3086275,7889827962.396657
476,maharashtra,2021,2,573616486,915115055623.7152
477,dadra & nagar haveli & daman & diu,2021,2,2125083,3157668461.418905
478,meghalaya,2021,2,909594,2193617254.8905916
479,andaman & nicobar islands,2021,2,341414,899147016.1122956
480,haryana,2021,2,105680856,200357354238.6818
481,rajasthan,2021,2,287477039,561702765169.2324
482,ladakh,2021,2,399716,1427259095.4703174
483,punjab,2021,2,32171248,69531058562.6159
484,assam,2021,2,25432905,59192473376.66449
485,jharkhand,2021,2,54002145,104432643311.45735
486,odisha,2021,2,131824337,245864117477.27853
487,bihar,2021,2,155603622,374580255186.58875
488,kerala,2021,2,47191033,74226806436.15614
489,karnataka,2021,2,530649046,837887151230.051
490,chandigarh,2021,2,4417547,8417673939.9361
491,telangana,2021,2,495867544,1027958332797.5902
492,himachal pradesh,2021,2,9483902,16495634539.809265
493,west bengal,2021,2,141897437,279434811058.5615
494,gujarat,2021,2,111841396,210162054552.1156
495,sikkim,2021,2,976714,2424899579.6753
496,nagaland,2021,2,1130791,3156293963.781851
497,mizoram,2021,2,394340,1122874473.3020918
498,chhattisgarh,2021,2,44689420,78728771259.22594
499,jammu & kashmir,2021,2,10027819,22813755428.591625
500,goa,2021,2,4710135,8012853587.075999
501,arunachal pradesh,2021,2,1568338,4456425616.994377
502,delhi,2021,2,170157264,281941097684.5416
503,uttarakhand,2021,2,24000432,40990817874.83847
504,puducherry,2021,3,5121726,8729974431.01447
505,tamil nadu,2021,3,204357404,365207323053.92737
506,uttar pradesh,2021,3,306543384,557080841279.8989
507,madhya pradesh,2021,3,311443334,504412603851.499
508,andhra pradesh,2021,3,432032550,984218035564.122
509,tripura,2021,3,2081200,4364133768.181473
510,lakshadweep,2021,3,13370,38803163.698768154
511,manipur,2021,3,3941396,10406861028.904892
512,maharashtra,2021,3,792874060,1159257305167.4517
513,dadra & nagar haveli & daman & diu,2021,3,3129470,4305939102.791508
514,meghalaya,2021,3,1097731,2769000451.527979
515,andaman & nicobar islands,2021,3,449764,1310024395.8016036
516,haryana,2021,3,140459693,240827092259.20697
517,rajasthan,2021,3,400284753,710511328542.4896
518,ladakh,2021,3,590987,2213984743.93459
519,punjab,2021,3,42533489,85992560840.61221
520,assam,2021,3,33504441,75700499273.30748
521,jharkhand,2021,3,70795702,121891015118.8533
522,odisha,2021,3,177362674,303780718933.0267
523,bihar,2021,3,187671113,397062760956.3983
524,kerala,2021,3,63028266,101686161773.12894
525,karnataka,2021,3,753296539,1133234739157.5984
526,chandigarh,2021,3,6649378,11815883004.693302
527,telangana,2021,3,622886768,1178289126292.262
528,himachal pradesh,2021,3,12064167,21310262071.128155
529,west bengal,2021,3,181712988,362457066256.5059
530,gujarat,2021,3,149248407,272624626113.58765
531,sikkim,2021,3,1160594,2989336863.8083954
532,nagaland,2021,3,1356792,3987416848.005447
533,mizoram,2021,3,478529,1473748650.2119522
534,chhattisgarh,2021,3,64237938,104606108262.77591
535,jammu & kashmir,2021,3,13151041,31598443648.03224
536,goa,2021,3,6467763,10478425592.936367
537,arunachal pradesh,2021,3,1906967,5678124175.298816
538,delhi,2021,3,238760608,383858316548.281
539,uttarakhand,2021,3,31042284,50527496783.56469
540,puducherry,2021,4,6368810,10423651801.230518
541,tamil nadu,2021,4,259155976,443723952594.79407
542,uttar pradesh,2021,4,406157932,773890970072.1896
543,madhya pradesh,2021,4,404308084,656887492404.479
544,andhra pradesh,2021,4,522254003,1156264447083.9226
545,tripura,2021,4,2520693,5496929464.299448
546,lakshadweep,2021,4,15470,50998185.528381005
547,manipur,2021,4,4687439,12658472038.211857
548,maharashtra,2021,4,1010731502,1475358473128.29
549,dadra & nagar haveli & daman & diu,2021,4,4157085,5565839386.3306675
550,meghalaya,2021,4,1440193,3848765400.1861496
551,andaman & nicobar islands,2021,4,636123,1932610101.3236554
552,haryana,2021,4,169686975,309240599300.4638
553,rajasthan,2021,4,487621597,903934418544.2667
554,ladakh,2021,4,630187,2153535138.7802677
555,punjab,2021,4,52359360,110710126241.99957
556,assam,2021,4,46020361,104184967893.21591
557,jharkhand,2021,4,96009042,166017119003.7058
558,odisha,2021,4,233925366,385251049689.91846
559,bihar,2021,4,245126945,519371614068.7477
