,State,Year,Quater,User_count
185,telangana,2022,3,24506111
186,west bengal,2022,3,24372048
187,tamil nadu,2022,3,24019964
188,madhya pradesh,2022,3,21884220
189,gujarat,2022,3,21394721
190,maharashtra,2022,4,55954028
191,uttar pradesh,2022,4,45648650
192,karnataka,2022,4,36081698
193,andhra pradesh,2022,4,27778016
194,rajasthan,2022,4,27255927
195,telangana,2022,4,25656381
196,west bengal,2022,4,25536381
197,tamil nadu,2022,4,25136112
198,madhya pradesh,2022,4,22913924
199,gujarat,2022,4,22412353
